0;362.883333333;36685
5;345.543333333;36880
10;327.863333333;36657
15;309.333333333;36657
20;293.523333333;36649
25;274.823333333;36640
30;255.443333333;36644
35;239.463333333;36632
40;221.613333333;36639
45;202.913333333;36629
50;184.043333333;36622
55;170.273333333;36621
60;156.163333333;36625
65;146.643333333;36631
70;159.563333333;36880
75;168.743333333;36624
80;168.743333333;36622
85;178.773333333;36615
90;178.943333333;36880
95;176.223333333;36618
100;196.793333333;36618
