2013-11-03-18	13.9311	10.1049	10.8307	13.4194	30.7098	8.3724	8.3724	8.2374
2013-11-04-00	13.4852	9.3279	9.9434	17.2393	29.3066	6.1885	6.1885	8.2786
2013-11-04-06	10.8131	8.6328	8.5259	10.1700	30.0492	6.7754	6.7754	7.6554
2013-11-04-12	12.5607	8.7279	11.8023	8.3768	27.3869	8.9734	8.9734	7.8844
2013-11-04-18	11.7770	7.8803	8.7754	12.0995	24.6131	7.6875	7.6875	7.7006
2013-11-05-00	12.0180	7.7820	7.5686	16.2530	27.0770	7.3209	7.3209	7.2683
2013-11-05-06	11.3230	6.7820	6.4710	15.4370	27.9820	6.7221	6.7221	6.1115
2013-11-05-12	10.3197	5.7148	4.6039	14.4176	27.1918	5.4421	5.4421	5.1133
2013-11-05-18	10.3738	5.9541	4.3701	13.5426	27.3180	4.6204	4.6204	5.2079
2013-11-06-00	9.4918	5.1770	6.3920	11.9969	26.1393	5.5856	5.5856	4.2907
2013-11-06-06	12.7770	6.9967	7.8497	17.6922	27.8328	6.8235	6.8235	7.2643
2013-11-06-12	10.3279	6.4295	4.1014	16.9797	24.7525	6.4564	6.4564	6.0729
2013-11-06-18	11.7475	8.1607	5.2630	11.5231	23.0361	6.9021	6.9021	7.1258
2013-11-07-00	14.2098	9.8230	6.7618	10.7205	23.8967	8.3233	8.3233	8.7231
2013-11-07-06	12.8443	9.8016	8.1601	9.5676	24.9410	9.0831	9.0831	8.9773
2013-11-07-12	11.1590	9.5230	8.3407	9.3012	25.1689	9.2580	9.2580	9.0158
2013-11-07-18	13.1721	11.4557	9.1109	12.8840	23.9082	9.7160	9.7160	10.7347
2013-11-08-00	8.4918	9.5344	7.8191	14.4162	24.5852	6.0477	6.0477	7.7860
2013-11-08-06	14.8459	11.1557	12.0180	13.0677	30.3082	10.0740	10.0740	10.8754
2013-11-08-12	10.3361	9.4197	12.8233	12.3335	32.2541	8.2964	8.2964	9.0145
2013-11-08-18	9.3754	6.3131	7.2203	15.8258	30.9148	6.9366	6.9366	6.3981
2013-11-09-00	8.6164	5.9918	9.9047	17.2401	25.6279	7.6425	7.6425	5.8742
2013-11-09-06	9.7541	8.0557	6.0504	14.9394	24.8738	5.8123	5.8123	5.3902
2013-11-09-12	10.4393	7.6885	7.6378	12.6196	27.7410	5.5028	5.5028	6.8441
2013-11-09-18	11.3393	8.1574	8.1257	13.7314	26.8787	6.5031	6.5031	7.0208
2013-11-10-00	14.8770	9.9197	12.5135	14.5436	23.7656	9.7609	9.7609	10.1985
2013-11-10-06	13.1852	8.8000	11.1112	15.5394	21.8066	8.6297	8.6297	9.5477
2013-11-10-12	10.3180	9.7426	12.7654	22.6648	23.1197	8.5283	8.5283	8.8482
2013-11-10-18	10.5115	11.0016	12.4346	27.2440	24.7230	10.0722	10.0722	8.2149
2013-11-11-00	9.1000	8.6623	7.7411	15.9648	24.7738	5.1025	5.1025	6.4376
2013-11-11-06	8.2820	8.3984	6.7987	13.3712	24.0279	4.6751	4.6751	5.9476
2013-11-11-12	6.9689	7.3082	5.3697	11.2116	26.7049	4.6563	4.6563	4.8414
2013-11-11-18	7.2344	7.1295	8.1958	11.0383	26.8049	5.3450	5.3450	5.7617
2013-11-12-00	4.3066	6.3492	3.9901	13.1383	27.8492	3.4460	3.4460	3.8289
2013-11-12-06	6.4377	6.9820	4.4525	16.5618	27.6475	3.2603	3.2603	3.9497
2013-11-12-12	7.7262	5.7590	6.2076	13.5210	27.7492	3.6858	3.6858	4.3304
2013-11-12-18	6.8213	5.5295	5.2329	11.4003	28.1934	3.7595	3.7595	3.6211
2013-11-13-00	8.2557	4.6213	5.8515	10.8086	27.0344	4.1160	4.1160	4.7547
2013-11-13-06	10.4721	5.6180	5.7999	12.0393	24.3279	4.5353	4.5353	5.7409
2013-11-13-12	13.5738	7.9541	6.8370	16.9550	21.3016	7.3389	7.3389	8.3454
2013-11-13-18	12.6885	9.1393	6.4539	16.4370	20.5787	8.4133	8.4133	9.3072
2013-11-14-00	9.5738	8.6262	5.7958	9.6905	24.0049	6.4329	6.4329	7.4926
